hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
88,32,0,0.0,0.0,1.0,0.0,1.0,2.4672680777717897,28.88888888888889,20.0,58,10,29.85
76,31,0,0.0,1.0,0.0,0.0,1.0,2.228571792149089,31.11111111111111,20.0,52,12,29.73
79,31,0,0.0,1.0,0.0,0.0,1.0,4.6216224631861325,31.11111111111111,20.0,52,13,29.73
64,32,0,0.0,0.0,1.0,0.0,1.0,2.554044077928032,27.22222222222222,20.0,65,6,29.82
77,40,0,1.0,0.0,0.0,1.0,0.0,3.732082613914635,33.888888888888886,17.77777777777778,38,7,29.88
85,30,0,0.0,0.0,1.0,0.0,1.0,2.198061922218875,27.22222222222222,22.22222222222222,74,2,29.85
56,40,0,1.0,0.0,0.0,1.0,0.0,5.027048811237192,32.77777777777778,17.22222222222222,38,6,29.79
67,32,0,0.0,0.0,1.0,0.0,1.0,2.555907387247203,27.22222222222222,20.0,65,6,29.82
81,33,0,0.0,1.0,0.0,0.0,1.0,2.987237407522012,32.22222222222222,20.0,49,9,29.7
71,31,0,0.0,1.0,0.0,0.0,1.0,4.56010565927826,31.11111111111111,21.11111111111111,55,9,29.73
88,31,0,0.0,0.0,1.0,0.0,1.0,4.49296146312235,27.77777777777778,21.11111111111111,66,8,29.82
77,31,0,0.0,1.0,0.0,0.0,1.0,2.376533501134314,30.0,20.0,55,9,29.73
51,31,0,0.0,1.0,0.0,0.0,1.0,3.145719954125785,30.0,17.22222222222222,45,10,29.73
83,29,0,0.0,0.0,1.0,0.0,1.0,2.8875856804391007,27.77777777777778,21.11111111111111,66,2,29.85
70,32,0,0.0,1.0,0.0,0.0,1.0,3.6028226289043155,32.22222222222222,21.11111111111111,52,12,29.73
73,33,0,0.0,1.0,0.0,0.0,1.0,3.651442672360105,32.22222222222222,20.0,49,12,29.7
72,31,0,0.0,1.0,0.0,0.0,1.0,4.664251014868871,31.11111111111111,20.0,52,12,29.73
72,31,0,0.0,1.0,0.0,0.0,1.0,3.613265384266583,31.11111111111111,17.77777777777778,46,8,29.79
95,32,0,0.0,1.0,0.0,0.0,1.0,3.1200040944794667,31.11111111111111,20.0,52,9,29.73
84,33,0,0.0,1.0,0.0,0.0,1.0,2.2284744447044904,31.11111111111111,20.0,52,9,29.73
70,30,0,0.0,0.0,1.0,0.0,1.0,3.2153883045717966,27.22222222222222,17.77777777777778,58,3,29.85
73,34,0,1.0,0.0,0.0,1.0,0.0,2.2465597875395327,32.22222222222222,18.88888888888889,46,8,29.91
85,33,0,0.0,1.0,0.0,0.0,1.0,4.840147250728335,32.22222222222222,20.0,49,9,29.7
71,30,0,0.0,1.0,0.0,0.0,1.0,4.692293319488964,30.0,17.77777777777778,48,10,29.79
99,28,0,0.0,0.0,1.0,0.0,1.0,2.6588260276410387,27.22222222222222,21.11111111111111,70,7,29.82
93,31,0,0.0,1.0,0.0,0.0,1.0,2.9080072724575334,31.11111111111111,20.0,52,9,29.73
55,40,1,1.0,0.0,0.0,1.0,0.0,4.420589109371483,32.77777777777778,17.22222222222222,38,6,29.79
74,31,0,0.0,1.0,0.0,0.0,1.0,2.625560701844869,30.0,17.77777777777778,48,10,29.79
83,29,0,0.0,0.0,1.0,0.0,1.0,2.6681706872036357,27.77777777777778,21.11111111111111,66,2,29.85
85,34,0,1.0,0.0,0.0,1.0,0.0,4.571108687667669,32.22222222222222,18.88888888888889,46,8,29.91
72,41,0,1.0,0.0,0.0,1.0,0.0,3.965214072798144,32.22222222222222,15.0,36,3,29.79
53,31,0,0.0,1.0,0.0,0.0,1.0,2.2556042941455963,30.0,17.22222222222222,45,10,29.73
78,34,0,0.0,1.0,0.0,0.0,1.0,2.2836180134177635,32.22222222222222,20.0,49,9,29.7
74,30,0,0.0,1.0,0.0,0.0,1.0,4.988233554632179,31.11111111111111,21.11111111111111,55,9,29.73
63,32,0,0.0,1.0,0.0,0.0,1.0,2.237641109840452,32.22222222222222,21.11111111111111,52,12,29.73
49,42,1,1.0,0.0,0.0,1.0,0.0,3.8986327138414665,32.77777777777778,17.77777777777778,41,8,29.82
71,35,0,1.0,0.0,0.0,1.0,0.0,2.4159843565216725,32.22222222222222,18.88888888888889,46,8,29.91
83,30,0,0.0,0.0,1.0,0.0,1.0,4.806184248615763,27.77777777777778,21.11111111111111,66,3,29.85
77,31,0,0.0,1.0,0.0,0.0,1.0,2.9580338556400103,31.11111111111111,21.11111111111111,55,14,29.73
87,35,0,0.0,0.0,1.0,1.0,0.0,2.2396970282609407,30.0,20.0,55,3,29.88
86,30,0,0.0,1.0,0.0,0.0,1.0,4.811665216048472,31.11111111111111,20.0,52,13,29.73
49,31,0,0.0,1.0,0.0,0.0,1.0,4.814377527514812,31.11111111111111,17.22222222222222,43,13,29.73
89,30,0,0.0,0.0,1.0,0.0,1.0,3.4791855849434445,28.88888888888889,20.0,58,10,29.85
66,32,0,0.0,0.0,1.0,0.0,1.0,2.55584084688187,27.22222222222222,20.0,65,6,29.82
57,38,0,1.0,0.0,0.0,1.0,0.0,4.812783602858414,32.77777777777778,17.22222222222222,38,6,29.79
69,43,1,1.0,0.0,0.0,1.0,0.0,3.2689544057200357,32.77777777777778,18.88888888888889,43,6,29.79
58,37,0,1.0,0.0,0.0,1.0,0.0,4.36577960300135,32.77777777777778,17.77777777777778,41,8,29.82
89,32,0,0.0,1.0,0.0,0.0,1.0,3.565697094431717,31.11111111111111,20.0,52,13,29.73
97,28,0,0.0,0.0,1.0,0.0,1.0,3.0455401867930862,27.77777777777778,21.11111111111111,66,12,29.85
87,31,0,0.0,1.0,0.0,0.0,1.0,4.7906690098459785,31.11111111111111,20.0,52,13,29.73
74,31,0,0.0,0.0,1.0,0.0,1.0,2.2835256063611205,27.22222222222222,17.77777777777778,58,3,29.85
98,29,0,0.0,0.0,1.0,0.0,1.0,3.0348407869661336,27.77777777777778,21.11111111111111,66,8,29.82
76,31,0,0.0,1.0,0.0,0.0,1.0,4.229706745829442,31.11111111111111,21.11111111111111,55,9,29.73
99,28,0,0.0,0.0,1.0,0.0,1.0,3.887404041576666,27.22222222222222,21.11111111111111,70,9,29.88
45,37,0,0.0,0.0,1.0,1.0,0.0,2.5494528589390755,32.77777777777778,17.22222222222222,38,7,29.79
73,40,0,1.0,0.0,0.0,1.0,0.0,3.867158999247293,32.22222222222222,15.0,36,3,29.79
86,29,0,0.0,0.0,1.0,0.0,1.0,3.893104976838965,27.77777777777778,21.11111111111111,66,2,29.85
99,30,0,0.0,0.0,1.0,0.0,1.0,2.8332183665014665,27.77777777777778,21.11111111111111,66,10,29.91
52,31,0,0.0,1.0,0.0,0.0,1.0,3.0846165646299863,30.0,17.22222222222222,45,10,29.73
