hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
70,33,0,0.0,0.0,1.0,0.0,1.0,4.025572562340813
72,35,0,1.0,0.0,0.0,1.0,0.0,2.6137813736164808
82,28,0,0.0,0.0,1.0,0.0,1.0,3.8408822415462436
47,31,0,0.0,1.0,0.0,0.0,1.0,5.03963896216317
99,28,0,0.0,0.0,1.0,0.0,1.0,4.223480440156446
79,33,0,0.0,1.0,0.0,0.0,1.0,2.4103245812366327
59,44,1,1.0,0.0,0.0,1.0,0.0,3.1959062018981514
99,29,0,0.0,0.0,1.0,0.0,1.0,4.527806724123273
84,29,0,0.0,0.0,1.0,0.0,1.0,3.592825795414992
83,29,0,0.0,0.0,1.0,0.0,1.0,4.833159420233288
47,32,0,0.0,1.0,0.0,0.0,1.0,4.183759028747319
77,27,0,0.0,0.0,1.0,0.0,1.0,2.2609057001495403
71,32,0,0.0,1.0,0.0,0.0,1.0,4.372362559016416
58,37,0,1.0,0.0,0.0,1.0,0.0,5.000307786025591
99,30,0,0.0,0.0,1.0,0.0,1.0,4.1973166778502335
91,33,0,0.0,1.0,0.0,0.0,1.0,4.366158892173494
73,31,0,0.0,1.0,0.0,0.0,1.0,3.0519561236560486
91,30,0,0.0,0.0,1.0,0.0,1.0,5.2215604553504855
72,31,0,0.0,1.0,0.0,0.0,1.0,3.400890101934588
95,29,0,0.0,0.0,1.0,0.0,1.0,2.3482205386723667
88,31,0,0.0,0.0,1.0,0.0,1.0,2.7335438032845403
78,30,0,0.0,0.0,1.0,0.0,1.0,4.790006010081103
88,32,0,0.0,0.0,1.0,0.0,1.0,2.5568653204376584
72,42,0,1.0,0.0,0.0,1.0,0.0,2.359672191613149
85,31,0,0.0,1.0,0.0,0.0,1.0,4.988166715351818
74,31,0,0.0,0.0,1.0,0.0,1.0,2.890626110267146
64,42,0,1.0,0.0,0.0,1.0,0.0,2.404338485957456
74,39,0,1.0,0.0,0.0,1.0,0.0,4.701105601819163
62,32,0,0.0,1.0,0.0,0.0,1.0,2.4008313170456685
