timestamp,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
2020-02-28 13:17:45,56,42,0,1.0,0.0,0.0,1.0,0.0,2.2688546051912075
2020-02-28 13:18:01,56,42,0,1.0,0.0,0.0,1.0,0.0,2.269251232167139
2020-02-28 13:18:45,51,42,0,1.0,0.0,0.0,1.0,0.0,2.253887041252628
2020-02-28 13:19:17,53,44,0,1.0,0.0,0.0,1.0,0.0,2.234351567064665
2020-02-28 13:19:50,55,45,0,1.0,0.0,0.0,1.0,0.0,2.2110343309361142
2020-02-28 13:20:04,53,44,0,1.0,0.0,0.0,1.0,0.0,2.1840081082333525
2020-02-28 16:45:46,62,32,0,0.0,1.0,0.0,0.0,1.0,2.773714942090591
2020-02-28 16:46:00,58,32,0,0.0,1.0,0.0,0.0,1.0,2.735366836349945
2020-02-28 16:46:30,60,33,0,0.0,1.0,0.0,0.0,1.0,2.683886668224337
2020-02-28 16:47:17,65,32,0,0.0,1.0,0.0,0.0,1.0,2.597816520131037
2020-02-28 16:47:58,65,32,0,0.0,1.0,0.0,0.0,1.0,2.5084511498448863
2020-02-28 16:48:01,69,32,0,0.0,1.0,0.0,0.0,1.0,2.504657219382205
2020-02-28 16:48:35,58,32,0,0.0,1.0,0.0,0.0,1.0,2.430774092022418
2020-02-28 16:49:28,67,33,0,0.0,1.0,0.0,0.0,1.0,2.3968092075299445
2020-02-28 16:49:42,66,33,0,0.0,1.0,0.0,0.0,1.0,2.3976775056805804
2020-02-28 16:50:01,71,33,0,0.0,1.0,0.0,0.0,1.0,2.3984552384316764
2020-02-28 16:50:55,63,33,0,0.0,1.0,0.0,0.0,1.0,2.344876092023955
2020-02-28 16:51:07,62,33,0,0.0,1.0,0.0,0.0,1.0,2.3240608538523975
2020-02-28 16:51:53,59,32,0,0.0,1.0,0.0,0.0,1.0,2.283928985016872
2020-02-28 16:52:11,56,33,0,0.0,1.0,0.0,0.0,1.0,2.2673841375932633
2020-02-28 16:52:57,61,32,0,0.0,1.0,0.0,0.0,1.0,2.2673841375932633
2020-02-28 16:53:07,63,34,0,0.0,1.0,0.0,0.0,1.0,2.2673841375932633
2020-02-28 16:53:43,57,32,0,0.0,1.0,0.0,0.0,1.0,2.2673841375932633
2020-02-28 16:54:28,57,32,0,0.0,1.0,0.0,0.0,1.0,2.331898751220132
2020-02-28 16:54:46,57,33,0,0.0,1.0,0.0,0.0,1.0,2.331898751220132
2020-02-28 16:55:05,57,33,0,0.0,1.0,0.0,0.0,1.0,2.331898751220132
