greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast
4,4,3,3,4,4,2,4,74.0,31,0.0,0.0,1.0,0.0,0.0,1.0,6.432676848378437,0,0,0,76.77432083655444
2,2,3,3,3,2,2,3,56.0,35,1.0,0.0,0.0,0.0,1.0,0.0,6.421921126183198,7,7,0,69.97536040925128
2,2,3,3,2,3,2,2,54.0,36,0.0,0.0,1.0,0.0,0.0,1.0,7.1546814231299285,3,3,1,48.33355369723294
5,5,3,3,4,4,2,4,69.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.552040945996955,9,3,2,85.48022699188148
4,3,3,3,4,3,2,3,66.0,33,0.0,0.0,0.0,1.0,0.0,1.0,7.201964291736032,9,4,1,71.27886207719801
3,3,3,2,3,4,4,4,47.0,37,0.0,0.0,0.0,1.0,0.0,1.0,7.0677836043218205,9,8,2,77.90140857263646
2,2,3,3,3,3,2,4,55.0,36,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786,6,3,0,65.71089986491525
2,3,3,4,4,3,3,2,62.0,32,0.0,0.0,0.0,1.0,0.0,1.0,7.059676141035869,3,4,5,68.3788660577812
2,4,3,3,4,4,2,3,69.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.300804986904532,7,4,0,77.41630306312945
3,3,2,2,4,4,1,4,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,5,4,0,68.17542549076241
4,4,2,2,4,4,2,4,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,4,3,0,69.13288294181277
3,3,3,3,4,3,4,3,73.0,32,0.0,0.0,0.0,1.0,0.0,1.0,7.029398592711106,2,1,0,73.16310386494767
5,4,4,3,2,2,3,3,48.0,37,1.0,0.0,0.0,0.0,1.0,0.0,6.435284427939396,2,2,4,72.87375001281686
2,3,4,4,1,3,3,2,44.0,38,0.0,0.0,0.0,1.0,1.0,0.0,5.581282407920349,3,3,2,59.265636867855996
3,4,5,5,1,1,2,2,88.0,28,0.0,0.0,0.0,1.0,0.0,1.0,5.565722894430606,7,9,1,47.60763526666146
2,2,3,3,2,2,2,3,78.0,31,1.0,0.0,0.0,0.0,1.0,0.0,7.140344541456088,9,4,1,62.17338743567596
2,1,3,3,2,1,2,2,52.0,35,0.0,0.0,0.0,1.0,1.0,0.0,8.31717429411227,0,0,0,72.56014293045921
3,3,3,3,3,2,2,3,67.0,33,0.0,0.0,1.0,0.0,0.0,1.0,6.4246916304081845,8,6,0,73.59686962961247
3,3,3,3,4,4,3,3,80.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.644312533684778,4,4,2,61.93923368338018
